dataset,profile,android_brightness,patch,R,G,B,X,Y,Z
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-160,160,160,160,1.6155,1.707507,1.86884
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-192,192,192,192,2.3919,2.537979,2.717274
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-224,224,224,224,3.387397,3.576759,3.894334
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-240,240,240,240,3.932965,4.15473,4.498787
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-248,248,248,248,4.22118,4.474506,4.820184
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,gray-252,252,252,252,4.385802,4.644378,5.011927
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,red-128,128,0,0,0.41185,0.219063,0.023098
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,red-224,224,0,0,1.439865,0.757453,0.086888
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,red-240,240,0,0,1.686432,0.884002,0.098447
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,red-248,248,0,0,1.826998,0.957146,0.104523
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,red-252,252,0,0,1.887589,0.988961,0.109866
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,red-255,255,0,0,1.945122,1.020819,0.110202
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,green-128,0,128,0,0.390645,0.761241,0.138131
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,green-224,0,224,0,1.328481,2.620658,0.461499
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,green-240,0,240,0,1.545244,3.050369,0.536846
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,green-248,0,248,0,1.659627,3.269286,0.571314
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,green-252,0,252,0,1.720785,3.394731,0.589951
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,green-255,0,255,0,1.763784,3.488405,0.605779
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,blue-128,0,0,128,0.199793,0.08996,1.012197
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,blue-224,0,0,224,0.652874,0.27342,3.371877
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,blue-240,0,0,240,0.765707,0.319426,3.965071
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,blue-248,0,0,248,0.822106,0.341931,4.253702
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,blue-252,0,0,252,0.845147,0.352652,4.380193
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,blue-255,0,0,255,0.870438,0.361451,4.511792
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,cyan-128,0,128,128,0.581693,0.836357,1.120264
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,cyan-224,0,224,224,1.957708,2.856043,3.782232
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,cyan-240,0,240,240,2.270221,3.318721,4.377241
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,cyan-248,0,248,248,2.445001,3.554621,4.747013
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,cyan-252,0,252,252,2.52763,3.68974,4.886434
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,cyan-255,0,255,255,2.59618,3.793153,5.035529
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,magenta-128,128,0,128,0.613399,0.307227,1.016692
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,magenta-224,224,0,224,2.096431,1.028877,3.434819
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,magenta-240,240,0,240,2.452698,1.199695,4.031538
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,magenta-248,248,0,248,2.644056,1.29154,4.330125
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,magenta-252,252,0,252,2.729297,1.332127,4.500289
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,magenta-255,255,0,255,2.811573,1.372062,4.631642
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,yellow-128,128,128,0,0.800114,0.973502,0.156179
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,yellow-224,224,224,0,2.736537,3.326044,0.530628
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,yellow-240,240,240,0,3.184582,3.868047,0.614973
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,yellow-248,248,248,0,3.425753,4.174506,0.665977
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,yellow-252,252,252,0,3.5604,4.335934,0.684503
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,yellow-255,255,255,0,3.663171,4.45643,0.701934
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,red-mix,192,64,64,1.152985,0.718692,0.305197
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,green-mix,64,192,64,1.07054,1.910069,0.538273
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,blue-mix,64,64,192,0.637128,0.400506,2.439276
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,skin-light,194,150,130,1.769998,1.681985,1.248143
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,skin-dark,115,82,68,0.509741,0.464408,0.317275
